id,area,households,rho
12,490.0,4,120.05
16,740.0,8,90.65
9,184.0,2,90.16
3,487.0,6,79.54333333333334
17,459.0,6,74.97
1,54.0,1,52.92
11,570.0,11,50.78181818181818
15,360.0,7,50.4
18,222.0,5,43.512
21,215.0,5,42.14
13,170.0,4,41.65
14,85.0,2,41.65
2,42.0,1,41.16
8,122.0,3,39.85333333333333
7,158.0,4,38.71
19,222.0,6,36.26
6,210.0,7,29.4
10,119.0,4,29.155
5,116.0,4,28.42
4,93.0,4,22.785
20,100.0,5,19.6
